seqname	V	D	J	vlen	vdilen	dlen	djilen	jlen
S47	IGHV3-64D*06	IGHD7-27*01	IGHJ2*01	294	0	8	8	48
S48	IGHV4-30-2*05	IGHD4-17*01	IGHJ5*02	297	13	8	12	43
S49	IGHV4-30-2*05	IGHD2-21*02	IGHJ6*01	296	5	17	4	51
S50	IGHV5-10-1*03	IGHD2-8*02	IGHJ6*03	294	2	31	5	58
S51	IGHV1/OR15-9*01	IGHD6-13*01	IGHJ5*02	293	0	16	1	45
S52	IGHV7-81*01	IGHD1-7*01	IGHJ5*01	294	0	1	4	47
S53	IGHV3/OR16-8*02	IGHD1-26*01	IGHJ4*03	292	0	11	10	45
S54	IGHV7-81*01	IGHD3-3*02	IGHJ1*01	293	5	22	10	46
S55	IGHV1-69*04	IGHD6-6*01	IGHJ2*01	294	8	10	0	52
S56	IGHV3-30-3*02	IGHD6-25*01	IGHJ2*01	294	0	11	0	53
S57	IGHV3-64*01	IGHD4-17*01	IGHJ2*01	293	3	0	0	53
S58	IGHV1/OR21-1*01	IGHD1-7*01	IGHJ2*01	294	3	7	0	51
S59	IGHV4-61*01	IGHD1-20*01	IGHJ2*01	296	12	12	2	51
S60	IGHV3-33*01	IGHD4/OR15-4a*01	IGHJ1*01	294	4	9	8	52
S61	IGHV3-30-3*03	IGHD5-18*01	IGHJ1*01	294	7	15	8	49
S62	IGHV3-73*01	IGHD4-11*01	IGHJ4*01	300	7	13	7	40
S63	IGHV4-38-2*01	IGHD3-3*01	IGHJ6*03	294	5	27	2	56
S64	IGHV1-45*02	IGHD5/OR15-5a*01	IGHJ2*01	290	2	9	13	53
S65	IGHV3-9*03	IGHD1-20*01	IGHJ3*01	294	0	4	0	48
S66	IGHV7-81*01	IGHD2-21*02	IGHJ1*01	294	0	0	9	52
S67	IGHV6-1*02	IGHD2-15*01	IGHJ6*03	303	25	28	0	58
S68	IGHV3-66*03	IGHD3/OR15-3a*01	IGHJ5*01	291	5	19	4	51
S69	IGHV3/OR16-10*02	IGHD5/OR15-5a*01	IGHJ1*01	289	0	11	10	51
S70	IGHV6-1*02	IGHD1-14*01	IGHJ5*01	302	2	6	0	45
S71	IGHV3/OR16-13*01	IGHD5-12*01	IGHJ3*02	293	0	22	7	48
S72	IGHV4-61*02	IGHD3-22*01	IGHJ3*02	296	3	10	4	45
S73	IGHV3/OR16-8*01	IGHD5-18*01	IGHJ4*01	293	0	12	5	48
S74	IGHV4-30-2*06	IGHD5-12*01	IGHJ3*02	295	13	0	0	50
S75	IGHV3/OR16-8*02	IGHD4/OR15-4a*01	IGHJ3*01	294	0	12	0	49
S76	IGHV6-1*02	IGHD2-2*02	IGHJ2*01	303	1	25	24	53
S77	IGHV3-15*02	IGHD3-22*01	IGHJ6*03	299	0	17	4	61
S78	IGHV1-69-2*01	IGHD5-18*01	IGHJ6*03	294	4	0	3	62
S79	IGHV3-53*01	IGHD5-24*01	IGHJ6*02	291	1	14	9	57
S80	IGHV1-8*01	IGHD3-10*02	IGHJ4*01	293	0	22	3	43
S81	IGHV3-66*02	IGHD3-10*02	IGHJ4*03	290	9	24	1	43
S82	IGHV4-4*05	IGHD4-23*01	IGHJ1*01	287	3	19	4	51
S83	IGHV1-24*01	IGHD1-26*01	IGHJ5*02	294	0	15	2	50
S84	IGHV3-48*02	IGHD2/OR15-2a*01	IGHJ2*01	293	6	26	9	48
S85	IGHV3-NL1*01	IGHD5/OR15-5a*01	IGHJ1*01	294	2	14	0	51
S86	IGHV3-13*03	IGHD1-20*01	IGHJ1*01	288	8	4	4	48
S87	IGHV1/OR15-5*02	IGHD6-13*01	IGHJ3*02	293	7	6	4	45
S88	IGHV3/OR16-8*01	IGHD1-1*01	IGHJ2*01	294	9	14	0	50
S89	IGHV3-43*01	IGHD1-14*01	IGHJ4*02	293	0	0	3	44
S90	IGHV3-64D*06	IGHD1-20*01	IGHJ1*01	294	3	12	3	37
S91	IGHV2-5*08	IGHD4-23*01	IGHJ3*02	300	7	0	12	48
S92	IGHV4-61*06	IGHD5-18*01	IGHJ3*01	223	11	5	0	44
S93	IGHV4/OR15-8*02	IGHD3-22*01	IGHJ6*04	293	2	22	0	62
S94	IGHV1-69D*01	IGHD5-12*01	IGHJ3*01	293	3	4	6	46
S95	IGHV3-66*03	IGHD7-27*01	IGHJ4*02	290	9	5	0	48
S96	IGHV3-30-3*01	IGHD6-6*01	IGHJ4*03	293	10	0	6	46
S97	IGHV1-2*01	IGHD2-15*01	IGHJ3*01	294	7	31	12	44
S98	IGHV3-43D*01	IGHD4/OR15-4a*01	IGHJ2*01	294	5	5	6	51
S99	IGHV3-64D*06	IGHD1-20*01	IGHJ6*04	294	6	13	0	63
S100	IGHV4-34*10	IGHD4-17*01	IGHJ3*01	289	3	16	5	48
S101	IGHV3-64D*06	IGHD5-24*01	IGHJ3*01	294	6	20	4	40
S102	IGHV2/OR16-5*01	IGHD3-3*01	IGHJ6*03	300	2	19	4	56
S103	IGHV7-4-1*02	IGHD1-7*01	IGHJ6*03	294	3	17	5	62
S104	IGHV1-24*01	IGHD1-1*01	IGHJ4*01	293	4	4	4	44
S105	IGHV2/OR16-5*01	IGHD1/OR15-1a*01	IGHJ1*01	299	0	2	4	47
S106	IGHV3/OR15-7*03	IGHD1-26*01	IGHJ4*03	300	3	12	3	43
S107	IGHV5-51*02	IGHD2/OR15-2a*01	IGHJ5*02	291	12	27	3	43
S108	IGHV4-38-2*01	IGHD6-19*01	IGHJ6*02	293	14	2	1	62
S109	IGHV4-38-2*01	IGHD6-13*01	IGHJ3*01	294	8	13	8	35
S110	IGHV4-59*02	IGHD4/OR15-4a*01	IGHJ5*01	286	12	16	0	38
S111	IGHV1/OR15-9*01	IGHD3-16*02	IGHJ1*01	293	10	33	3	46
S112	IGHV2/OR16-5*01	IGHD4-17*01	IGHJ2*01	300	8	10	5	53
S113	IGHV3-35*01	IGHD1-14*01	IGHJ2*01	294	3	4	4	50
S114	IGHV3/OR16-12*01	IGHD2-8*02	IGHJ6*02	292	2	25	1	58
S115	IGHV3/OR16-10*03	IGHD1-26*01	IGHJ6*01	291	8	14	0	54
S116	IGHV3/OR16-9*01	IGHD4/OR15-4a*01	IGHJ5*02	294	7	6	0	51
S117	IGHV4-30-4*07	IGHD3/OR15-3a*01	IGHJ5*02	297	0	27	4	51
S118	IGHV6-1*02	IGHD1-20*01	IGHJ5*01	303	7	17	0	49
S119	IGHV3/OR16-6*02	IGHD3-10*02	IGHJ6*02	300	0	27	4	62
S120	IGHV1/OR15-1*03	IGHD1-26*01	IGHJ5*01	289	0	12	0	51
S121	IGHV1-2*03	IGHD3-9*01	IGHJ5*02	293	7	18	1	48
S122	IGHV3-38*01	IGHD5/OR15-5a*01	IGHJ6*03	288	1	13	4	60
S123	IGHV3-64*05	IGHD3-9*01	IGHJ3*02	293	3	28	0	40
S124	IGHV5-10-1*01	IGHD1-14*01	IGHJ3*02	293	0	13	2	35
S125	IGHV3-16*01	IGHD3-22*01	IGHJ4*01	293	2	23	7	45
S126	IGHV1-8*01	IGHD4-17*01	IGHJ4*03	293	9	16	4	45
S127	IGHV6-1*01	IGHD4-23*01	IGHJ4*02	303	8	14	4	41
S128	IGHV3-35*01	IGHD1-14*01	IGHJ2*01	289	3	8	0	52
S129	IGHV3/OR16-12*01	IGHD7-27*01	IGHJ6*01	293	5	0	5	58
S130	IGHV3-15*05	IGHD6-13*01	IGHJ5*01	299	0	16	10	36
S131	IGHV3-16*02	IGHD3-16*01	IGHJ6*03	289	0	34	7	60
S132	IGHV3-48*03	IGHD1-7*01	IGHJ1*01	294	1	0	1	47
S133	IGHV2-26*01	IGHD2-8*02	IGHJ3*01	295	0	20	0	34
S134	IGHV1/OR15-5*02	IGHD4-23*01	IGHJ2*01	293	6	1	0	49
S135	IGHV5-51*02	IGHD3-10*02	IGHJ5*02	294	7	21	2	43
S136	IGHV1-24*01	IGHD1-20*01	IGHJ4*02	293	6	2	0	42
S137	IGHV3-73*02	IGHD6-6*01	IGHJ3*01	299	0	15	8	48
S138	IGHV5-10-1*03	IGHD2-2*03	IGHJ4*02	294	10	21	1	35
S139	IGHV1-8*01	IGHD1/OR15-1a*01	IGHJ4*03	294	4	14	7	48
S140	IGHV4-61*04	IGHD1-20*01	IGHJ2*01	287	0	5	9	45
S141	IGHV3-30-3*02	IGHD6-6*01	IGHJ6*04	294	4	0	0	57
S142	IGHV3-64D*06	IGHD1-7*01	IGHJ1*01	294	0	9	5	41
S143	IGHV4-38-2*02	IGHD1-26*01	IGHJ5*01	294	4	15	0	48
S144	IGHV3-38-3*01	IGHD1-1*01	IGHJ4*01	286	4	0	1	43
S145	IGHV3-23*03	IGHD4-17*01	IGHJ2*01	294	4	12	1	44
S146	IGHV2-70*12	IGHD4/OR15-4a*01	IGHJ3*02	300	3	13	2	34
S147	IGHV3-66*02	IGHD4-17*01	IGHJ4*03	288	5	1	0	46
S148	IGHV3-64*01	IGHD7-27*01	IGHJ2*01	290	5	6	7	53
S149	IGHV2-70D*14	IGHD4/OR15-4a*01	IGHJ3*02	300	0	18	2	50
S150	IGHV3-64*05	IGHD6-6*01	IGHJ5*01	294	7	2	0	46
S151	IGHV3-23*01	IGHD4-23*01	IGHJ3*02	294	6	5	6	38
S152	IGHV3/OR15-7*01	IGHD2-8*02	IGHJ4*02	300	1	27	0	48
S153	IGHV5-10-1*04	IGHD6-19*01	IGHJ2*01	294	1	12	4	50
S154	IGHV3-21*02	IGHD3-3*01	IGHJ1*01	294	11	31	2	47
S155	IGHV5-51*03	IGHD5-12*01	IGHJ1*01	294	5	5	3	45
S156	IGHV1/OR21-1*01	IGHD5-12*01	IGHJ2*01	294	4	18	10	53
S157	IGHV3-9*01	IGHD2-8*02	IGHJ5*02	287	6	26	19	47
S158	IGHV3-21*02	IGHD2-2*02	IGHJ2*01	294	8	29	8	37
S159	IGHV3-30*06	IGHD5-24*01	IGHJ5*01	294	0	20	8	51
S160	IGHV3-23*04	IGHD6-19*01	IGHJ1*01	290	6	17	10	47
S161	IGHV3-30*16	IGHD5-12*01	IGHJ5*01	292	2	17	0	44
S162	IGHV2-70D*14	IGHD1-26*01	IGHJ1*01	300	3	12	0	46
S163	IGHV2-26*01	IGHD7-27*01	IGHJ5*02	298	13	2	0	51
S164	IGHV4-59*02	IGHD4/OR15-4a*01	IGHJ3*02	291	7	4	15	41
S165	IGHV3/OR16-9*01	IGHD5-24*01	IGHJ3*01	292	2	11	3	35
S166	IGHV1/OR15-1*02	IGHD2-21*01	IGHJ2*01	288	10	27	3	48
S167	IGHV3-53*03	IGHD3-10*01	IGHJ1*01	290	3	31	0	46
S168	IGHV2/OR16-5*01	IGHD6-6*01	IGHJ1*01	299	6	9	0	47
S169	IGHV3-16*01	IGHD3-10*02	IGHJ3*01	294	6	24	0	43
S170	IGHV4/OR15-8*03	IGHD2-2*01	IGHJ5*01	292	13	22	4	51
S171	IGHV4-34*10	IGHD3-22*01	IGHJ5*01	289	1	18	0	47
S172	IGHV7-4-1*01	IGHD3-10*01	IGHJ1*01	294	7	29	3	46
S173	IGHV3-30-3*01	IGHD5-12*01	IGHJ6*03	294	0	21	1	62
S174	IGHV1/OR21-1*01	IGHD2-2*01	IGHJ4*03	291	0	30	11	47
S175	IGHV1-69-2*01	IGHD3-22*01	IGHJ3*02	293	5	25	5	45
S176	IGHV3-15*04	IGHD4-11*01	IGHJ4*02	298	6	2	2	47
S177	IGHV2-26*01	IGHD2-8*01	IGHJ5*02	300	2	28	4	51
S178	IGHV1-2*01	IGHD1-20*01	IGHJ1*01	293	0	15	4	49
S179	IGHV1-2*01	IGHD6-25*01	IGHJ1*01	293	10	12	18	46
S180	IGHV3-33*01	IGHD2/OR15-2a*01	IGHJ1*01	291	7	26	0	37
S181	IGHV3/OR16-6*02	IGHD2-8*02	IGHJ3*01	296	0	21	3	38
S182	IGHV3-35*01	IGHD1-14*01	IGHJ6*04	294	5	12	1	61
S183	IGHV1-46*02	IGHD6-13*01	IGHJ6*04	294	0	10	0	54
S184	IGHV3-74*03	IGHD6-6*01	IGHJ5*02	294	7	12	7	50
S185	IGHV1-58*02	IGHD3-10*02	IGHJ6*03	294	9	19	0	62
S186	IGHV3-64D*06	IGHD1-14*01	IGHJ1*01	294	7	13	4	49
S187	IGHV1-2*02	IGHD2-2*01	IGHJ3*01	291	0	17	0	35
S188	IGHV3-7*03	IGHD1-7*01	IGHJ6*04	294	7	16	7	61
S189	IGHV2-70*10	IGHD3-22*01	IGHJ6*03	297	1	28	6	58
S190	IGHV1-69*02	IGHD2/OR15-2a*01	IGHJ4*01	292	0	26	0	43
S191	IGHV3-72*01	IGHD3-10*02	IGHJ5*02	299	7	19	3	51
S192	IGHV1/OR15-9*01	IGHD2-15*01	IGHJ5*01	294	8	29	3	51
S193	IGHV4-28*05	IGHD6-13*01	IGHJ3*01	288	2	11	12	39
S194	IGHV1/OR15-1*01	IGHD3-9*01	IGHJ1*01	293	8	22	3	47
S195	IGHV3-21*04	IGHD3-16*02	IGHJ3*01	293	0	27	5	45
S196	IGHV3-48*01	IGHD1-14*01	IGHJ2*01	294	0	13	6	48
S197	IGHV4/OR15-8*01	IGHD5/OR15-5a*01	IGHJ1*01	289	3	0	1	47
S198	IGHV1/OR15-9*01	IGHD1-26*01	IGHJ4*02	293	9	18	2	36
S199	IGHV1/OR15-9*01	IGHD2-21*01	IGHJ2*01	293	0	19	1	51
S200	IGHV4-38-2*02	IGHD2/OR15-2a*01	IGHJ3*02	294	6	24	2	50
